merge_lane_vehicle-a-py_1   | [19:09:18] [A] DEBUG: MERGE_GRANT(OK) | pos=(40.638000,-8.649759) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | pos_prevista=(40.638000,-8.648472) | ts_previsao=19:09:22
merge_lane_vehicle-c-py_1   | [19:09:18] [C] DEBUG: MERGE_GRANT(OK) | pos=(40.638000,-8.652659) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | pos_prevista=(40.638000,-8.651372) | ts_previsao=19:09:22
merge_lane_vehicle-c-py_1   | [19:09:20] [C] DEBUG: MERGE_GRANT(OK) | pos=(40.638000,-8.652297) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | pos_prevista=(40.638000,-8.651372) | ts_previsao=19:09:22
merge_lane_vehicle-a-py_1   | [19:09:20] [A] DEBUG: MERGE_GRANT(OK) | pos=(40.638000,-8.649397) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | pos_prevista=(40.638000,-8.648472) | ts_previsao=19:09:22
merge_lane_vehicle-mc-py_1  | [19:09:18] [MC] DEBUG: MERGE_REQUEST | pos=(40.637613,-8.650080) | eta_chegada=19:09:22 (3.9s) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | merge_point=(40.638000,-8.649500)
merge_lane_vehicle-mc-py_1  | [19:09:20] [MC] DEBUG: MERGE_REQUEST | pos=(40.637722,-8.649917) | eta_chegada=19:09:22 (2.8s) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | merge_point=(40.638000,-8.649500)
merge_lane_vehicle-mc-py_1  | [19:09:21] [MC] DEBUG: MERGE_REQUEST | pos=(40.637831,-8.649754) | eta_chegada=19:09:22 (1.7s) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | merge_point=(40.638000,-8.649500)
merge_lane_vehicle-a-py_1   | [19:09:21] [A] DEBUG: MERGE_GRANT(OK) | pos=(40.638000,-8.649035) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | pos_prevista=(40.638000,-8.648424) | ts_previsao=19:09:23
merge_lane_vehicle-mc-py_1  | [19:09:22] [MC] DEBUG: MERGE_REQUEST | pos=(40.637940,-8.649590) | eta_chegada=19:09:22 (0.6s) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | merge_point=(40.638000,-8.649500)
merge_lane_vehicle-b-py_1   | [19:09:22] [B] DEBUG: MERGE_GRANT(OK) | pos=(40.638000,-8.649673) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | pos_prevista=(40.638000,-8.649243) | ts_previsao=19:09:23
merge_lane_vehicle-c-py_1   | [19:09:21] [C] DEBUG: MERGE_GRANT(OK) | pos=(40.638000,-8.651935) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | pos_prevista=(40.638000,-8.651324) | ts_previsao=19:09:23
merge_lane_vehicle-a-py_1   | [19:09:22] [A] DEBUG: MERGE_GRANT(OK) | pos=(40.638000,-8.648673) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | pos_prevista=(40.638000,-8.648243) | ts_previsao=19:09:23
merge_lane_vehicle-c-py_1   | [19:09:22] [C] DEBUG: MERGE_GRANT(OK) | pos=(40.638000,-8.651573) | zona_conflito=(40.638000,-8.650377)→(40.638000,-8.649414) | pos_prevista=(40.638000,-8.651143) | ts_previsao=19:09:23
