merge_lane_vehicle-mc-py_1  | [14:48:32] [MC] [DEMO] MERGE_REQUEST enviado — a pausar
merge_lane_vehicle-a-py_1   | [14:48:32] [A] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=1
merge_lane_vehicle-b-py_1   | [14:48:32] [B] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=1
merge_lane_vehicle-c-py_1   | [14:48:32] [C] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=1
merge_lane_vehicle-mc-py_1  | [14:48:37] [MC] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
merge_lane_vehicle-c-py_1   | [14:48:37] [C] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=3
merge_lane_vehicle-mc-py_1  | [14:48:42] [MC] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
merge_lane_vehicle-b-py_1   | [14:48:42] [B] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
merge_lane_vehicle-mc-py_1  | [14:48:47] [MC] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
merge_lane_vehicle-mc-py_1  | [14:48:52] [MC] [DEMO] MERGE_GRANT(recusa) — a retomar para retry
merge_lane_vehicle-a-py_1   | [14:48:52] [A] [DEMO] MERGE_CONFIRMED — a retomar
merge_lane_vehicle-b-py_1   | [14:48:52] [B] [DEMO] MERGE_CONFIRMED — a retomar
merge_lane_vehicle-c-py_1   | [14:48:52] [C] [DEMO] MERGE_CONFIRMED — a retomar
merge_lane_vehicle-mc-py_1  | [14:48:53] [MC] [DEMO] MERGE_REQUEST enviado — a pausar
merge_lane_vehicle-a-py_1   | [14:48:53] [A] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=1
merge_lane_vehicle-b-py_1   | [14:48:53] [B] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=1
merge_lane_vehicle-c-py_1   | [14:48:53] [C] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=1
merge_lane_vehicle-mc-py_1  | [14:48:58] [MC] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
merge_lane_vehicle-c-py_1   | [14:48:58] [C] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=3
merge_lane_vehicle-mc-py_1  | [14:49:03] [MC] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
merge_lane_vehicle-b-py_1   | [14:49:03] [B] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
merge_lane_vehicle-mc-py_1  | [14:49:08] [MC] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
